Date_UTC,Extent,IAGA,GEOLON,GEOLAT,MAGON,MAGLAT,MLT,MCOLAT,IGRF_DECL,SZA,dbn_nez,dbe_nez,dbz_nez,dbn_geo,dbe_geo,dbz_geo
2008-01-01T00:00:00,60,MGD,150.86,59.97,-139.71,54.14,9.48,35.86,-11.12,86.57,-3.3,-11.6,0.0,-5.5,-10.7,0.0
2008-01-01T00:01:00,60,MGD,150.86,59.97,-139.71,54.14,9.50,35.86,-11.12,86.51,-3.2,-11.8,0.2,-5.4,-10.9,0.2
2008-01-01T00:02:00,60,MGD,150.86,59.97,-139.71,54.14,9.52,35.86,-11.12,86.45,-2.9,-11.8,0.2,-5.1,-11.0,0.2
2008-01-01T00:03:00,60,MGD,150.86,59.97,-139.71,54.14,9.53,35.86,-11.12,86.40,-2.5,-11.5,0.2,-4.7,-10.8,0.2
2008-01-01T00:04:00,60,MGD,150.86,59.97,-139.71,54.14,9.55,35.86,-11.12,86.34,-2.6,-11.3,0.0,-4.8,-10.6,0.0
2008-01-01T00:05:00,60,MGD,150.86,59.97,-139.71,54.14,9.57,35.86,-11.12,86.29,-2.8,-11.4,-0.2,-4.9,-10.6,-0.2
2008-01-01T00:06:00,60,MGD,150.86,59.97,-139.71,54.14,9.58,35.86,-11.12,86.23,-3.1,-11.3,0.0,-5.2,-10.5,0.0
2008-01-01T00:07:00,60,MGD,150.86,59.97,-139.71,54.14,9.60,35.86,-11.12,86.18,-3.2,-11.7,0.1,-5.4,-10.9,0.1
2008-01-01T00:08:00,60,MGD,150.86,59.97,-139.71,54.14,9.62,35.86,-11.12,86.12,-3.3,-12.1,0.1,-5.6,-11.2,0.1
2008-01-01T00:09:00,60,MGD,150.86,59.97,-139.71,54.14,9.64,35.86,-11.12,86.07,-3.3,-12.0,0.1,-5.6,-11.2,0.1
2008-01-01T00:10:00,60,MGD,150.86,59.97,-139.71,54.14,9.65,35.86,-11.12,86.01,-3.4,-11.5,0.2,-5.5,-10.6,0.2
2008-01-01T00:11:00,60,MGD,150.86,59.97,-139.71,54.14,9.67,35.86,-11.12,85.96,-4.1,-11.4,0.0,-6.2,-10.4,0.0
2008-01-01T00:12:00,60,MGD,150.86,59.97,-139.71,54.14,9.69,35.86,-11.12,85.91,-4.5,-11.2,0.1,-6.6,-10.1,0.1
2008-01-01T00:13:00,60,MGD,150.86,59.97,-139.71,54.14,9.70,35.86,-11.12,85.86,-5.1,-11.5,0.1,-7.2,-10.3,0.1
2008-01-01T00:14:00,60,MGD,150.86,59.97,-139.71,54.14,9.72,35.86,-11.12,85.81,-5.2,-11.5,0.2,-7.3,-10.3,0.2
2008-01-01T00:15:00,60,MGD,150.86,59.97,-139.71,54.14,9.74,35.86,-11.12,85.75,-5.5,-11.6,0.1,-7.6,-10.3,0.1
2008-01-01T00:16:00,60,MGD,150.86,59.97,-139.71,54.14,9.75,35.86,-11.12,85.70,-5.9,-11.6,-0.0,-8.1,-10.3,-0.0
2008-01-01T00:17:00,60,MGD,150.86,59.97,-139.71,54.14,9.77,35.86,-11.12,85.65,-6.0,-11.5,-0.1,-8.1,-10.1,-0.1
2008-01-01T00:18:00,60,MGD,150.86,59.97,-139.71,54.14,9.79,35.86,-11.12,85.60,-6.3,-11.3,-0.1,-8.4,-9.8,-0.1
2008-01-01T00:19:00,60,MGD,150.86,59.97,-139.71,54.14,9.80,35.86,-11.12,85.55,-6.4,-11.3,0.0,-8.4,-9.9,0.0
2008-01-01T00:20:00,60,MGD,150.86,59.97,-139.71,54.14,9.82,35.86,-11.12,85.50,-6.2,-11.6,0.1,-8.3,-10.2,0.1
2008-01-01T00:21:00,60,MGD,150.86,59.97,-139.71,54.14,9.84,35.86,-11.12,85.46,-5.7,-12.0,0.2,-8.0,-10.7,0.2
2008-01-01T00:22:00,60,MGD,150.86,59.97,-139.71,54.14,9.86,35.86,-11.12,85.41,-5.8,-12.1,0.1,-8.0,-10.7,0.1
2008-01-01T00:23:00,60,MGD,150.86,59.97,-139.71,54.14,9.87,35.86,-11.12,85.36,-5.9,-12.2,0.1,-8.1,-10.8,0.1
2008-01-01T00:24:00,60,MGD,150.86,59.97,-139.71,54.14,9.89,35.86,-11.12,85.31,-6.1,-12.3,0.0,-8.3,-10.9,0.0
2008-01-01T00:25:00,60,MGD,150.86,59.97,-139.71,54.14,9.91,35.86,-11.12,85.27,-6.4,-12.3,-0.0,-8.6,-10.8,-0.0
2008-01-01T00:26:00,60,MGD,150.86,59.97,-139.71,54.14,9.92,35.86,-11.12,85.22,-6.6,-12.2,-0.1,-8.9,-10.7,-0.1
2008-01-01T00:27:00,60,MGD,150.86,59.97,-139.71,54.14,9.94,35.86,-11.12,85.18,-6.5,-12.4,-0.2,-8.8,-10.9,-0.2
2008-01-01T00:28:00,60,MGD,150.86,59.97,-139.71,54.14,9.96,35.86,-11.12,85.13,-6.7,-12.6,-0.3,-9.0,-11.1,-0.3
2008-01-01T00:29:00,60,MGD,150.86,59.97,-139.71,54.14,9.97,35.86,-11.12,85.09,-6.6,-12.7,-0.1,-8.9,-11.2,-0.1
2008-01-01T00:30:00,60,MGD,150.86,59.97,-139.71,54.14,9.99,35.86,-11.12,85.04,-6.5,-12.7,-0.1,-8.8,-11.2,-0.1
2008-01-01T00:31:00,60,MGD,150.86,59.97,-139.71,54.14,10.01,35.86,-11.12,85.00,-6.3,-13.0,-0.0,-8.7,-11.6,-0.0
2008-01-01T00:32:00,60,MGD,150.86,59.97,-139.71,54.14,10.03,35.86,-11.12,84.95,-5.9,-13.1,-0.0,-8.4,-11.7,-0.0
2008-01-01T00:33:00,60,MGD,150.86,59.97,-139.71,54.14,10.04,35.86,-11.12,84.91,-5.6,-12.9,0.1,-8.0,-11.6,0.1
2008-01-01T00:34:00,60,MGD,150.86,59.97,-139.71,54.14,10.06,35.86,-11.12,84.87,-5.8,-12.7,0.1,-8.2,-11.3,0.1
2008-01-01T00:35:00,60,MGD,150.86,59.97,-139.71,54.14,10.08,35.86,-11.12,84.83,-6.1,-12.9,0.2,-8.5,-11.4,0.2
2008-01-01T00:36:00,60,MGD,150.86,59.97,-139.71,54.14,10.09,35.86,-11.12,84.78,-6.4,-13.1,0.2,-8.8,-11.6,0.2
2008-01-01T00:37:00,60,MGD,150.86,59.97,-139.71,54.14,10.11,35.86,-11.12,84.74,-6.7,-13.2,0.2,-9.1,-11.6,0.2
2008-01-01T00:38:00,60,MGD,150.86,59.97,-139.71,54.14,10.13,35.86,-11.12,84.70,-6.9,-13.3,0.0,-9.3,-11.8,0.0
2008-01-01T00:39:00,60,MGD,150.86,59.97,-139.71,54.14,10.15,35.86,-11.12,84.66,-7.2,-13.4,0.0,-9.6,-11.8,0.0
2008-01-01T00:40:00,60,MGD,150.86,59.97,-139.71,54.14,10.16,35.86,-11.12,84.62,-7.0,-13.5,0.1,-9.5,-11.8,0.1
2008-01-01T00:41:00,60,MGD,150.86,59.97,-139.71,54.14,10.18,35.86,-11.12,84.58,-6.8,-13.7,0.2,-9.4,-12.1,0.2
